MacroalgaeHabitat,DayNight,Replicate,MacroalgaeMass,Ampithoe_caddi,Ampithoe_kava,Ampithoe_ngana
Colpomenia_peregrina,D,1,7.9,0,0,0
Colpomenia_peregrina,D,2,11.9,0,1,0
Colpomenia_peregrina,D,3,14,0,0,0
Colpomenia_peregrina,D,4,8.7,0,1,0
Colpomenia_peregrina,D,5,12.3,0,0,0
Colpomenia_peregrina,D,6,12.8,1,0,3
Colpomenia_peregrina,D,7,9.2,0,0,0
Colpomenia_peregrina,D,8,10.5,0,0,0
Colpomenia_peregrina,D,9,12.6,0,0,0
Colpomenia_peregrina,D,10,10.4,1,0,0
Colpomenia_peregrina,N,1,11.1,2,0,12
Colpomenia_peregrina,N,2,6.8,0,0,0
Colpomenia_peregrina,N,3,12.3,0,0,0
Colpomenia_peregrina,N,4,10.1,0,0,0
Colpomenia_peregrina,N,5,15.6,3,0,0
Colpomenia_peregrina,N,6,7.3,0,0,1
Colpomenia_peregrina,N,7,8.1,2,1,1
Colpomenia_peregrina,N,8,5.3,0,0,0
Colpomenia_peregrina,N,9,6.9,0,0,1
Colpomenia_peregrina,N,10,8.3,0,0,3
Dictyopteris_acrostichoides,D,1,25.5,19,37,21
Dictyopteris_acrostichoides,D,2,43.6,37,9,42
Dictyopteris_acrostichoides,D,3,27.9,112,51,30
Dictyopteris_acrostichoides,D,4,70.7,145,36,34
Dictyopteris_acrostichoides,D,5,42.7,19,9,15
Dictyopteris_acrostichoides,D,6,47.3,76,68,29
Dictyopteris_acrostichoides,D,7,20.1,13,5,8
Dictyopteris_acrostichoides,D,8,45.3,30,21,37
Dictyopteris_acrostichoides,D,9,21.7,10,1,3
Dictyopteris_acrostichoides,D,10,40,30,9,7
Dictyopteris_acrostichoides,N,1,42.9,18,5,1
Dictyopteris_acrostichoides,N,2,38.2,49,22,105
Dictyopteris_acrostichoides,N,3,20.1,95,31,43
Dictyopteris_acrostichoides,N,4,10.3,12,3,3
Dictyopteris_acrostichoides,N,5,25.7,48,27,19
Dictyopteris_acrostichoides,N,6,41.9,6,0,0
Dictyopteris_acrostichoides,N,7,29.4,21,1,2
Dictyopteris_acrostichoides,N,8,21.8,35,2,6
Dictyopteris_acrostichoides,N,9,23.9,179,159,135
Dictyopteris_acrostichoides,N,10,23.8,8,3,2
Sargassum_linearifolium,D,1,43.9,23,127,103
Sargassum_linearifolium,D,2,52.3,0,9,57
Sargassum_linearifolium,D,3,54.4,24,34,17
Sargassum_linearifolium,D,4,25.6,33,21,23
Sargassum_linearifolium,D,5,48.2,22,34,54
Sargassum_linearifolium,D,6,70.4,4,9,4
Sargassum_linearifolium,D,7,92.7,42,123,136
Sargassum_linearifolium,D,8,52.7,14,8,5
Sargassum_linearifolium,D,9,41.9,58,63,70
Sargassum_linearifolium,D,10,31,5,42,84
Sargassum_linearifolium,N,1,65.1,160,64,94
Sargassum_linearifolium,N,2,41.5,17,21,89
Sargassum_linearifolium,N,3,52.2,24,44,90
Sargassum_linearifolium,N,4,40.1,43,36,60
Sargassum_linearifolium,N,5,71.2,45,70,102
Sargassum_linearifolium,N,6,35.2,25,65,103
Sargassum_linearifolium,N,7,35.6,9,24,93
Sargassum_linearifolium,N,8,47.7,11,28,73
Sargassum_linearifolium,N,9,20.9,9,71,97
Sargassum_linearifolium,N,10,34.6,27,29,38
Sargassum_vestitum,D,1,42.3,1,6,3
Sargassum_vestitum,D,2,31.8,1,2,1
Sargassum_vestitum,D,3,42.8,10,22,11
Sargassum_vestitum,D,4,27.3,0,2,4
Sargassum_vestitum,D,5,37.9,8,12,5
Sargassum_vestitum,D,6,52.9,0,1,1
Sargassum_vestitum,D,7,27.1,5,16,19
Sargassum_vestitum,D,8,35.7,14,10,6
Sargassum_vestitum,D,9,34.4,1,8,1
Sargassum_vestitum,D,10,31.8,0,1,1
Sargassum_vestitum,N,1,25.6,5,15,5
Sargassum_vestitum,N,2,51.9,0,0,3
Sargassum_vestitum,N,3,46.4,1,1,0
Sargassum_vestitum,N,4,27.1,1,1,0
Sargassum_vestitum,N,5,51.9,13,3,0
Sargassum_vestitum,N,6,26.4,7,10,4
Sargassum_vestitum,N,7,26.1,20,31,4
Sargassum_vestitum,N,8,16.3,1,0,0
Sargassum_vestitum,N,9,28.7,5,23,10
Sargassum_vestitum,N,10,53.7,0,0,0
Zonaria_diesingiana,D,1,8.6,14,8,59
Zonaria_diesingiana,D,2,6.2,1,10,33
Zonaria_diesingiana,D,3,8.9,2,4,22
Zonaria_diesingiana,D,4,7.4,0,0,10
Zonaria_diesingiana,D,5,12.8,0,0,23
Zonaria_diesingiana,D,6,15.3,0,4,30
Zonaria_diesingiana,D,7,11.8,0,3,9
Zonaria_diesingiana,D,8,9.9,0,0,4
Zonaria_diesingiana,D,9,14.6,5,13,12
Zonaria_diesingiana,D,10,10.4,3,0,42
Zonaria_diesingiana,N,1,11.8,10,0,40
Zonaria_diesingiana,N,2,4.2,14,2,36
Zonaria_diesingiana,N,3,3.9,0,0,43
Zonaria_diesingiana,N,4,7.6,8,13,50
Zonaria_diesingiana,N,5,6.6,2,0,61
Zonaria_diesingiana,N,6,10.3,4,1,28
Zonaria_diesingiana,N,7,12.8,5,0,19
Zonaria_diesingiana,N,8,7,4,0,10
Zonaria_diesingiana,N,9,5.6,3,4,17
Zonaria_diesingiana,N,10,7.2,3,0,49
